user,feature,can_create,can_read,can_update,can_delete
jacob,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::SectionType,TRUE,TRUE,TRUE,FALSE
jacob,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
jacob,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
jacob,User,TRUE,TRUE,TRUE,TRUE
jacob,Role,TRUE,TRUE,TRUE,FALSE
jacob,Permission,TRUE,TRUE,TRUE,FALSE
kishore,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::SectionType,TRUE,TRUE,TRUE,FALSE
kishore,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
kishore,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
kishore,User,TRUE,TRUE,TRUE,TRUE
kishore,Role,TRUE,TRUE,TRUE,FALSE
kishore,Permission,TRUE,TRUE,TRUE,FALSE
anas,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::SectionType,TRUE,TRUE,TRUE,FALSE
anas,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
anas,User,TRUE,TRUE,TRUE,TRUE
anas,Role,TRUE,TRUE,TRUE,FALSE
anas,Permission,TRUE,TRUE,TRUE,FALSE
