user,feature,can_create,can_read,can_update,can_delete
anas,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
anas,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
anas,User,TRUE,TRUE,TRUE,TRUE
anas,Role,TRUE,TRUE,TRUE,FALSE
anas,Permission,TRUE,TRUE,TRUE,FALSE
vinodh,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
vinodh,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
vinodh,User,TRUE,TRUE,TRUE,TRUE
vinodh,Role,TRUE,TRUE,TRUE,FALSE
vinodh,Permission,TRUE,TRUE,TRUE,FALSE
junaid,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::Category,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::Section,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::Branch,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::BlogPost,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::Booking,TRUE,TRUE,TRUE,TRUE
junaid,Dhatu::Offer,TRUE,TRUE,TRUE,TRUE
junaid,User,TRUE,TRUE,TRUE,TRUE
junaid,Role,TRUE,TRUE,TRUE,FALSE
junaid,Permission,TRUE,TRUE,TRUE,FALSE
anas,Dhatu::Price,TRUE,TRUE,TRUE,TRUE
