name,status,categorisable,,
User,published,FALSE,,
Registration,unpublished,FALSE,,
Role,published,FALSE,,
Permission,published,FALSE,,
Country,published,FALSE,,
Region,published,FALSE,,
City,published,FALSE,,
Locality,published,FALSE,,
Dhatu::Page,published,FALSE,,
Dhatu::Section,published,FALSE,,
Dhatu::Project,published,TRUE,,
Dhatu::Product,published,TRUE,,s
Dhatu::Service,published,TRUE,,
Dhatu::BlogPost,unpublished,TRUE,,
Dhatu::Branch,unpublished,FALSE,,
Dhatu::Offer,unpublished,FALSE,,
Dhatu::Price,unpublished,TRUE,,
Dhatu::Event,unpublished,FALSE,,
Dhatu::Testimonial,published,FALSE,,
Dhatu::TeamMember,unpublished,FALSE,,
Dhatu::Category,published,FALSE,,
Dhatu::Booking,unpublished,FALSE,,
Dhatu::Promotion,unpublished,FALSE,,
Dhatu::PromotionAttribute,unpublished,FALSE,,
Dhatu::PromotionEnquiry,unpublished,FALSE,,
