name, short_description, description, price, duration, category, status, featured, priority
Hair coloring,Hair coloring,"Red Velvet hair salon specializes in diverse hair coloring styles. The design of our salon setting is in such a way that you will relax the whole good time as we work our magic on your hair. We guarantee that you will love the results and probably keep coming back for more. There are many standard hair coloring packages out there, but none can beat our advanced and specialized packages.",,,Hair,published,false,1
Balayage hair coloring technique,Balayage hair coloring technique,"Balayage means sweeping or painting in the French language. Believe you me; the effect of balayage hair coloring is outstanding. Our coloring specialists brush the hair with a color of your choice on the surface of the hair without saturating the whole section with hair dye. The result is soft hair that is equally blended and attractive to the eye.",,,Hair,published,false,1
The ombre option,The ombre option,"The beauty of ombre hair coloring is that it will never go out of fashion. As such our dedicated team at Red Velvet salon will work round the clock to bring this perfect finishing to your hair. Book an appointment with us, and you will be amazed at the beauty that ombre coloring will bring on board. Ombre hair coloring uses a unique technique to ensure that the hair ends are lighter in color than the rest of the hair. Supposing that your hair is not dark, well our staff would advise that you consider deepening your natural hair shade to something different.",,,Hair,published,false,1
What about sombre hair coloring?,What about sombre hair coloring?,"Sombre hair coloring has a soft low contrast between the roots and the ends. Most women acknowledge that pitch hair coloring is subtle and presentable for all ages. Well, if this is the style of choice that you prefer, we are more than ready and willing to create the perfect onyx hair coloring style that is not only striking but classic as well. 
Red Velvet Salon, Dubai has got you covered. We are equipped for every good work as pertains to hair coloring.",,,Hair,published,false,1
Hairstyling options,Hairstyling options,"We all have unique styles and hair textures which accounts for the beauty of diversity. Now, at Red Velvet Salon, we treat each case as unique and individual as it needs to be. We thus custom tailor our services to individual clients as per their need and preferences. As such we specialize in different hair styling options. Be it, fine textured, medium, curly hair, we have got you covered. Combined with the most efficient products, we will work in styling your hair in a way that will complement your appearance.",,,Hair,published,false,1
Hair perming,Hair perming,"If it so happens that you are bored with the current hairstyle, hair perming is an excellent alternative. Perming will most certainly add both beauty and body to your hair as a result of all the curls. That way, you escape the boredom of having to blow-dry your hair every morning and yet there are better things to do that demand your attention as well. There are two types of perming styles. In the hot perm style, we begin by treating the hair then forming curls using a curling iron. Afterwards, the coils are styled into rollers and subjected to a relatively high temperature for a period. On the other hand, the cold perm hairstyle begins by soaking the hair in an alkaline solution and rolled to form the intended curls. The benefits of perming one’s hair are as listed below. 
● It makes the hair look good  
● It bulks up thin hair making it increase in volume which makes it efficient for people with weak hair 
● It does not need an everyday styling and thus saving time and cost 
● It can be applied even on dyed hair strands. Perming does not affect the pigmentation of the hair 
● It provides for continuous treatment as soon as the hair grows",,,Hair,published,false,1
Re-bonding,Re-bonding,"Women always have the urge to look beautiful and want to try out new things now and then. Red Velvet Beauty Salon, Dubai is the best salon to experiment with.  The good thing is that hair straightening, and re-bonding is one of our specialties. More so for people with wavy and frizzy hair, re-bonding is the perfect solution since it transforms the wavy hair into silky and straight strands. Besides hair re-bonding has gained much popularity and is still trending with every passing day. 
Merits of hair re-bonding and straightening
● It allows you to walk around in perfectly straightened hair for the next couple of months depending on the individual growth rate of the hair
● Re-bonding uses revolutionary products that reduce hair damage. At Red Velvet Beauty Salon, we pride ourselves in using the best organic and natural product that ensures that your hair stays healthy. 
● It is a natural procedure, and the services are found in almost all salons if not all 
● It is cost effective since it is only done once in about three to six months",,,Hair,published,false,1
Brazilian keratin treatment,Brazilian keratin treatment,"Brazilian keratin treatment is a fantastic option if you want to get straighter hair. With the help of the keratin protein component, your hair structure changes as you so desire. In here are the reasons why Brazilian keratin treatment is a preferred option for most women. 
● Besides hair straightening, Brazilian treatment naturally infuses the hair with protein keratin element that is most beneficial to weak or damaged hair. 
● The straightening treatment lasts for up to two and a half months which makes the procedure very cost effective
● This treatment makes the hair appear smooth and shiny and works on all kinds of hair textures; frizzy, wavy or curly
Hair straightening is a commitment that may take months before reversing. As such, it is prudent to consult with experts in Brazilian keratin hair treatment, and Red Velvet Beauty Salon just so happens to be experts.",,,Hair,published,false,1
Hair Botox treatment,Hair Botox treatment,"There is no doubt that people are increasing resulting in hair Botox treatment to revitalize their hair. Botox hair treatment is a luxurious formula that has the following active ingredients: proteins, collagen, antioxidants, caviar oil, vitamins, natural acids and healing agents that moisturize and nourish both the scalp and hair. Hair Botox treatment is a certified way of reverting your hair to its healthy state. The Botox treatment does this by repairing internal scalp damage, hydrating withered hair, plugging up all the holes and fixing the tears.",,,Hair,published,false,1
Who benefits most from hair Botox treatment?,Who benefits most from hair Botox treatment?,"●  Dry or damaged hair
● Lifeless hair 
● Bleached, colored or highlighted hair 
● Straightened or overly curled hair
With Botox hair treatment, you can expect to have all of the benefits listed below.
● It protects against dandruff and other scalp related conditions 
● It repairs the tears and damages to the hair
● It is safe to use due to the exfoliating effect of the acid
● It produces silky straight hair without breaking the bonds in the hair strands 
● It is a tremendous reconstructive treatment that minimizes hair loss. 
At Red Velvet Salon in Dubai we offer both Botox hair treatments and consultations to our esteemed clients!",,,Hair,published,false,1
Botox mask,Botox mask,"Botox mask is designed to serve three purposes; strengthen, protect the hair and conserve the brightness of the hair. The cover is free of any sodium chloride and instead has silicones and vitamins that help to seal the hair cuticles and protect the hair fiber. In other words, Botox mask is an all-around package of restoring capabilities. We use it on many of our clients, and they appreciate the healing effect of the Botox mask.",,,Hair,published,false,1
Fruit mask,Fruit mask,"Another of our specialty services is the use of a fruit mask. The beauty of using a fruit mask is that all the ingredients are natural and as such providing for a physical healing effect. The fruit mask addresses the problems from the roots which are the foundations of hair growth.",,,Hair,published,false,1
Hot oil,Hot oil,"Hot oil is crucial when massaging and repairing damaged scalp. The hot oil we use is a combination of different oils and herbs that do not only nourish the hair but also transforms your hair into a shiny and stronger final product. The hot oil is a product that we have tested and approved for every good work. You have no reason to worry since it has no side effects instead it works to heal the scalp and give it a better healthy life. Get in touch with us today for the perfect hair and scalp treatment.",,,Hair,published,false,1
Facials,Facials,"Every woman strives for a smooth and youthful skin. After all, a vigorous and bright skin associates one with beauty and radiance! Facial treatment is one of the most efficient methods of taking care of the skin and ensuring the maintenance of the natural beauty. Professionals at the Red Velvet Salon, Dubai will help you achieve a younger skin an one that is free of spots. 
What should you expect after a deep cleansing facial service from us?
● Increased skin elasticity
● An improvement in the textual irregularities 
● Facial contours tightening
● Reduced fine lines and wrinkles
There are many types of facials available. As such we first assess your skin type and condition then recommend the best facial treatment tailor-made to solve your specific problem. Among the types of facials that we offer include facial rejuvenation, deep exfoliation, deep cleansing, antioxidant protection, and oxygen-infused facial, back facial and dead skin removal",,,Beauty,published,false,1
Nail art and other services,Nail art and other services,"A top-notch manicure and pedicure service in a comfy environment is what Red Velvet Salon delivers. With a wide range of sanitized nail kits and tools, we provide all sorts of nail services. Talk of nail art, nail extensions, pedicure, manicure and all the other nail services. Our nail polishes are quality with original colors and products that do no damage to the nails. Our team is creative and innovative enough to draw just about any nail art that your heart desires. The beauty in styling is that you can use different nail arts and extensions for different outfits and occasions. Well, we pride ourselves in creating this vision in adversity. We ensure that our nail extensions are flawless and that they blend well as though they are natural nails.",,,Beauty,published,false,1
Pedicure and manicure,Pedicure and manicure,"We have a spa manicure and pedicure soothing service at the comfort of a warm pillow. We extend our massaging services to the elbows for the manicure service and to the knee for pedicure services. Additionally, we treat our clients to foot baths with essential oils filled with an excellent fragrance that is soothing to the soul. For softer hands and legs, we use a paraffin treatment that seals in the moisture. We polish the nails of our clients to utmost perfection. Our pedicure and manicure package incorporates the following services. 
● Cleaning and removal of dead skin 
● Relaxing muscle massages
● Nail filing and shaping 
● Cuticles treatment 
● Hand and foot cleansing 
Regardless of what you are looking for, Red Velvet Salon is the place to be.",,,Beauty,published,false,1
